"","ResponseId","Open_1","Open_2","Open_3","Condition"
"1","R_1meYTcTIy6RHJmR","Defeat","Damn i suck","Damn they suck","Enhancing"
"2","R_2wLhhaMBBbENfrW","aa","aa","aa","Enhancing"
"3","R_2BgIjnEXGhzaMjC","its okay","let it be","we willl be fine ","Debilitating"
